id,edad,genero,sentimiento_serguridad,satisfaccion,covid_positivo,covid_prueba,covid_sintomas,covid_conocido_sintomas,covid_contacto_sintomas,covid_prevencion,covid_tratar,covid_atencion_puesto_salud,covid_desempleo,covid_depresion,covid_conflictos,covid_internados,covid_muerte,covid_higiene,servicio_agua,servicio_desague,servicio_telefono,servicio_internet,servicio_electricidad,cal_servicio_agua,cal_servicio_telefono,cal_servicio_internet,cal_servicio_electricidad,cal_servicio_basura,cal_servicio_seguridad,cal_servicio_mant_parq,cal_servicio_desague,muni_recojo_basura,muni_man_parques,tiempo_comercial,tiempo_cultural,tiempo_escuela,tiempo_universidad,tiempo_salud,tiempo_aux_rap,tiempo_via_principal,tiempo_iglesia,vivienda_m2,vivienda_m2_precio,vivienda_vivir_anios,vivienda_cuartos,vivienda_pisos,vivienda_banos,valoracion_vivienda,gasto_alimentos,gasto_vestido,gasto_edu,gasto_salud,gasto_transpor,gasto_diversion,alr_calles_pavimentadas,alr_zonas_verdes,alr_parques_recreativas,alr_auxilio_rap,jefe_ocu,distrito,zona,hogar_ingresos_cuantos,ingreso_familiar,f_menor18,f_hombre,f_mujer,idiomas,lugar_n,Distrito
1,22,1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,25.5,25.5,0,25.5,25.5,0,0,0,120,2000,5,3,2,2,240000,300,0,0,200,0,0,1,1,1,0,2,1,Cerrito la libertad,1,4500,0,1,1,3,Junin,Huancayo
2,26,0,1,9,0,1,0,1,0,200,0,0,0,1,1,0,0,4,1,1,1,1,1,5,4,4,5,4,4,4,5,1,1,0,0,0,25.5,0,0,0,0,92,1000,5,3,2,3,150000,400,200,300,200,500,150,0,1,1,0,1,1,Yauris,3,6730,0,0,3,1,Junin,Huancayo
3,25,0,0,5,0,0,0,1,0,400,150,0,1,0,1,0,0,5,1,1,0,1,1,4,2,3,4,4,1,1,4,1,0,0,0,0,25.5,25.5,0,0,0,14,600,1,3,1,2,60000,600,0,350,120,240,0,1,0,0,0,1,1,Centro de huancayo,3,3000,0,2,1,2,Huancavelica,Huancayo
4,21,1,1,10,0,0,1,1,1,0,0,0,0,0,0,0,0,5,1,1,0,1,1,5,0,3,5,4,3,3,5,1,0,45,45,0,0,0,0,0,0,100,600,5,5,0,0,900000,300,100,100,100,50,50,1,1,1,1,2,1,Palian,3,2000,1,2,2,1,Junin,Huancayo
5,19,1,1,10,0,1,0,1,0,300,0,0,1,0,0,1,1,5,1,1,0,1,1,5,4,4,5,4,4,4,4,1,1,5.5,0,0,0,5.5,0,5.5,0,240,150,5,1,2,3,400000,300,200,200,100,100,100,1,0,1,0,2,2,Azapampa,3,2000,0,5,3,2,Huancavelica,Chilca
6,27,1,0,5,0,0,0,1,0,300,0,0,1,1,1,3,2,4,1,1,0,1,1,2,4,3,4,3,3,2,4,1,0,0,0,45,45,0,45,0,0,100,500,5,4,2,1,50000,400,200,400,400,200,100,0,1,1,0,3,2,Pishupyacun,3,2100,0,3,2,2,Junin,Chilca
7,26,1,1,10,0,0,0,1,0,100,200,1,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,0,5.5,0,200,1200,5,1,3,4,240000,400,200,200,100,500,200,1,1,1,1,2,3,Ciudad universitaria,5,3500,4,4,3,3,Lima,El Tambo
8,24,1,1,7,0,0,1,1,0,0,0,0,1,0,0,1,0,3,1,1,1,1,1,3,3,3,4,3,3,2,4,1,0,25.5,0,25.5,0,0,0,0,0,100,3000,5,1,2,1,300000,500,100,1000,100,20,0,1,0,0,0,1,3,Bantanyacu,2,2000,1,3,3,1,Junin,El Tambo
9,28,1,0,6,1,0,0,0,0,100,100,0,0,1,0,0,2,5,0,1,0,1,1,0,4,4,4,4,4,4,0,1,0,0,0,5.5,5.5,0,0,5.5,5.5,200,1000,5,5,4,2,500000,500,200,300,100,150,100,0,0,1,0,2,3,Umuto,3,7000,2,3,1,2,Junin,El Tambo
10,45,0,0,6,1,0,0,0,0,200,400,0,0,0,0,0,0,5,1,1,1,1,1,3,4,3,4,3,3,3,3,1,0,15.5,15.5,0,0,0,0,0,15.5,400,1000,5,1,2,3,300000,1500,300,0,200,100,100,1,1,1,0,1,3,Incho,3,3500,5,3,2,2,Lima,El Tambo
