term,estimate,std.error,statistic,p.value
(Intercept),-0.0212,1.6588,-0.0128,0.9898
alr_auxilio_rap,0.817,0.4692,1.7412,0.0817
alr_calles_pavimentadas,1.5787,0.5585,2.8269,0.0047
cal_servicio_desague,0.7692,0.3012,2.5543,0.0106
cal_servicio_telefono,-0.3533,0.21560000000000001,-1.6384,0.1013
covid_depresion,-0.9994,0.477,-2.0949,0.0362
covid_positivo,3.8637,0.9113,4.2397,0
f_menor18,-0.4111,0.1797,-2.2879,0.0221
muni_recojo_basura,-3.3651,1.453,-2.3159,0.0206
sentimiento_serguridad,5.2766,0.7081,7.4518,0
servicio_agua,NA,NA,NA,NA
total_gasto,-4e-4,1e-4,-3.0061,0.0026
