term,estimate,std.error,statistic,p.value
(Intercept),-2.9396,0.5921,-4.9644,0
alr_auxilio_rap,0.3105,0.1086,2.8584,0.0043
alr_parques_recreativas,-0.2552,0.1166,-2.1888,0.0286
cal_servicio_basura,-0.2089,0.071,-2.9416,0.0033
cal_servicio_electricidad,0.3178,0.0612,5.1939,0
cal_servicio_seguridad,0.1634,0.0634,2.5768,0.01
covid_depresion,-0.5144,0.104,-4.9483,0
covid_muerte,0.0305,0.0668,0.4566,0.648
covid_tratar,5e-4,2e-4,2.8862,0.0039
f_hombre,-0.1583,0.047,-3.3659,8e-4
f_mujer,-0.1092,0.0467,-2.3384,0.0194
idiomas,0.3186,0.0842,3.7824,2e-4
ingreso_familiar,-0,0,-3.1359,0.0017
log_gasto,0.149,0.0685,2.1748,0.0296
sentimiento_serguridad,1.3013,0.1105,11.7776,0
servicio_desague,0.9048,0.2824,3.2039,0.0014
servicio_internet,0.1905,0.1247,1.5275,0.1266
servicio_telefono,0.2784,0.1201,2.3176,0.0205
vivienda_pisos,0.0386,0.0446,0.8667,0.3861
