term,estimate,std.error,statistic,p.value
(Intercept),-4.7793,1.1688,-4.0892,0
cal_servicio_desague,-0.3339,0.187,-1.7854,0.0742
cal_servicio_electricidad,0.6756,0.1486,4.5454,0
cal_servicio_mant_parq,0.6296,0.1298,4.8521,0
covid_depresion,-0.5087,0.2923,-1.7401,0.0818
covid_sintomas,0.7915,0.3387,2.3368,0.0194
f_hombre,-0.2942,0.119,-2.4711,0.0135
genero,0.711,0.2811,2.5296,0.0114
hogar_ingresos_cuantos,0.4916,0.1182,4.1594,0
jefe_ocu,0.2631,0.1601,1.6437,0.1002
muni_recojo_basura,-1.241,0.6232,-1.9914,0.0464
sentimiento_serguridad,2.1103,0.2984,7.0728,0
servicio_desague,1.7749,0.7663,2.3161,0.0206
